date,datatype,station,attributes,value
2020-05-01T00:00:00,TMIN,GHCND:ASN00003093,",,a,",19.9
2020-05-01T00:00:00,PRCP,GHCND:ASN00003098,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00003100,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00003105,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00004004,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00004006,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00004012,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00004016,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00004019,",,a,",0.0
2020-05-01T00:00:00,TMAX,GHCND:ASN00004019,",,a,",33.0
2020-05-01T00:00:00,TMIN,GHCND:ASN00004019,",,a,",18.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00004022,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00004023,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00004026,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00004028,",,a,",0.0
2020-05-01T00:00:00,TMAX,GHCND:ASN00004028,",,a,",31.6
2020-05-01T00:00:00,TMIN,GHCND:ASN00004028,",,a,",13.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00004032,",,a,",0.0
2020-05-01T00:00:00,TAVG,GHCND:ASN00004032,"H,,S,",23.1
2020-05-01T00:00:00,TMAX,GHCND:ASN00004032,",,a,",30.8
2020-05-01T00:00:00,TMIN,GHCND:ASN00004032,",,a,",16.5
2020-05-01T00:00:00,PRCP,GHCND:ASN00004033,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00004036,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00004038,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00004039,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00004041,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00004046,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00004059,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00004068,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00004083,",,a,",0.0
2020-05-01T00:00:00,TMAX,GHCND:ASN00004083,",,a,",30.4
2020-05-01T00:00:00,TMIN,GHCND:ASN00004083,",,a,",21.4
2020-05-01T00:00:00,PRCP,GHCND:ASN00004086,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00004102,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00004106,",,a,",0.0
2020-05-01T00:00:00,TMAX,GHCND:ASN00004106,",,a,",29.5
2020-05-01T00:00:00,TMIN,GHCND:ASN00004106,",,a,",16.7
2020-05-01T00:00:00,PRCP,GHCND:ASN00005001,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00005004,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00005006,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00005007,",,a,",0.0
2020-05-01T00:00:00,TAVG,GHCND:ASN00005007,"H,,S,",24.1
2020-05-01T00:00:00,TMAX,GHCND:ASN00005007,",,a,",28.4
2020-05-01T00:00:00,TMIN,GHCND:ASN00005007,",,a,",18.9
2020-05-01T00:00:00,PRCP,GHCND:ASN00005008,",,a,",0.2
2020-05-01T00:00:00,TMAX,GHCND:ASN00005008,",,a,",33.2
2020-05-01T00:00:00,TMIN,GHCND:ASN00005008,",,a,",20.6
2020-05-01T00:00:00,PRCP,GHCND:ASN00005012,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00005013,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00005014,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00005017,",,a,",0.0
2020-05-01T00:00:00,TMAX,GHCND:ASN00005017,",,a,",30.9
2020-05-01T00:00:00,TMIN,GHCND:ASN00005017,",,a,",22.1
2020-05-01T00:00:00,PRCP,GHCND:ASN00005022,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00005028,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00005029,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00005032,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00005034,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00005036,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00005040,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00005051,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00005061,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00005069,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00005070,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00005071,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00005082,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00005084,",,a,",0.0
2020-05-01T00:00:00,TMAX,GHCND:ASN00005084,",,a,",28.9
2020-05-01T00:00:00,TMIN,GHCND:ASN00005084,",,a,",23.4
2020-05-01T00:00:00,PRCP,GHCND:ASN00005088,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00005094,",,a,",0.0
2020-05-01T00:00:00,TMAX,GHCND:ASN00005094,",,a,",28.2
2020-05-01T00:00:00,TMIN,GHCND:ASN00005094,",,a,",24.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00005095,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00006005,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00006008,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00006010,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00006011,",,a,",0.0
2020-05-01T00:00:00,TAVG,GHCND:ASN00006011,"H,,S,",22.5
2020-05-01T00:00:00,TMAX,GHCND:ASN00006011,",,a,",33.2
2020-05-01T00:00:00,TMIN,GHCND:ASN00006011,",,a,",18.7
2020-05-01T00:00:00,PRCP,GHCND:ASN00006017,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00006019,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00006020,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00006022,",,a,",0.0
2020-05-01T00:00:00,TMIN,GHCND:ASN00006022,",,a,",17.5
2020-05-01T00:00:00,PRCP,GHCND:ASN00006026,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00006027,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00006034,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00006038,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00006044,",,a,",0.0
2020-05-01T00:00:00,TMAX,GHCND:ASN00006044,",,a,",31.7
2020-05-01T00:00:00,PRCP,GHCND:ASN00006045,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00006055,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00006058,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00006059,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00006066,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00006068,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00006070,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00006072,",,a,",0.0
2020-05-01T00:00:00,PRCP,GHCND:ASN00006084,",,a,",0.0
